愛,あい
愛情,あいじょう
合図,あいず
アイスクリーム,アイスクリーム
愛する,あいする
相手,あいて
生憎,あいにく
アイロン,アイロン
アウト,アウト
明かり,あかり
空き,あき
明らか,あきらか
諦める,あきらめる
飽きる,あきる
握手,あくしゅ
悪魔,あくま
開ける,あける
明後日,あさって
預ける,あずける
汗,あせ
値,あたい
与える,あたえる
暖かい,あたたかい
辺り,あたり
当たる,あたる
彼方此方,あちこち
アッ,アッ
扱う,あつかう
悪口,あっこう
集まり,あつまり
当てる,あてる
穴,あな
浴びる,あびる
油,あぶら
余り,あまり
誤り,あやまり
粗い,あらい
嵐,あらし
新た,あらた
有らゆる,あらゆる
表す,あらわす
現れ,あらわれ
現れる,あらわれる
有り難う,ありがとう
或,ある
有る,ある
或いは,あるいは
アルバム,アルバム
泡,あわ
合わせる,あわせる
哀れ,あわれ
案,あん
暗記,あんき
安定,あんてい
案内,あんない
あんなに,あんなに
否,いいえ
委員,いいん
言う,いう
意外,いがい
息,いき
勢い,いきおい
生き物,いきもの
幾つ,いくつ
幾ら,いくら
行けない,いけない
医師,いし
意志,いし
意思,いし
維持,いじ
意識,いしき
意識,いしき
異常,いじょう
椅子,いす
泉,いずみ
何れ,いずれ
以前,いぜん
板,いた
偉大,いだい
抱く,いだく
悪戯,いたずら
頂きます,いただきます
頂く,いただく
痛み,いたみ
至る,いたる
位置,いち
市,いち
一時,いちじ
一度に,いちどに
市場,いちば
一番,いちばん
一家,いっか
何時か,いつか
一種,いっしゅ
一瞬,いっしゅん
一生,いっしょう
一生,いっしょう
一層,いっそう
一体,いったい
一致,いっち
何時でも,いつでも
一般,いっぱん
一方,いっぽう
何時までも,いつまでも
何時も,いつも
移動,いどう
従兄弟,いとこ
稲,いね
居眠り,いねむり
命,いのち
違反,いはん
衣服,いふく
居間,いま
今に,いまに
今にも,いまにも
以来,いらい
依頼,いらい
苛々,いらいら
いらっしゃい,いらっしゃい
医療,いりょう
岩,いわ
祝い,いわい
祝う,いわう
言わば,いわば
所謂,いわゆる
インク,インク
印刷,いんさつ
印象,いんしょう
引退,いんたい
引用,いんよう
ウイスキー,ウイスキー
嗽,うがい
伺う,うかがう
受け取る,うけとる
動かす,うごかす
兎,うさぎ
牛,うし
失う,うしなう
後ろ,うしろ
嘘,うそ
疑う,うたがう
内,うち
宇宙,うちゅう
撃つ,うつ
移す,うつす
